code,description,merge_explanation,original_code,quote,source
Family Engagement in Trials,Involving family members in discussions to encourage participation in clinical trials for better support and decision-making.,These codes were merged because both emphasize the importance of family involvement in the decision-making process regarding clinical trial participation.,"[""Engage Family in Research Decisions"", ""Encouraging Participation in Trials""]","[{""text"": ""[{\""text\"": \""I'm also happy to talk with your family and friends if they want information on research studies.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""I think it would be quite helpful... it needs to be accompanied by the physician.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv""}]","3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv"
Family Health Improvement,The intention to improve health outcomes for family members through participation in clinical trials.,,"[""Family Health Improvement""]","[{""text"": ""[{\""text\"": \""It might not help you or it might. It just depends on whether you're in the standard or whether you're in the research group.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""11_R24FG_HM_Individual_GNV_initial_codes.csv""}]",11_R24FG_HM_Individual_GNV_initial_codes.csv
Feedback Mechanism,Users want a way to provide feedback on their experience to improve future interactions.,,"[""Feedback Mechanism"", ""Feedback Mechanism""]","[{""text"": ""[{\""text\"": \""I would say, 'this app is relatively new. How do you find it\\u2019s functioned for you today?'\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}, {""text"": ""[{\""text\"": \""Getting an answer from the person that reads it, 'Are you interested,' right away.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]","7_R24FG_HF_Group_GNV_initial_codes.csv, 17_R24FG_WM_Group_Villages_initial_codes.csv"
Feedback for Improvement,The desire to provide constructive feedback for improving clinical trial resources and tools.,,"[""Feedback for Improvement""]","[{""text"": ""[{\""text\"": \""I think that they're doing a wonderful job... I just don't know.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""11_R24FG_HM_Individual_GNV_initial_codes.csv""}]",11_R24FG_HM_Individual_GNV_initial_codes.csv
Feedback from Past Patients,Users believe insights from individuals who have undergone treatment could enhance the development of healthcare resources.,,"[""Feedback from Past Patients""]","[{""text"": ""[{\""text\"": \""It would probably be good... if you could get like a small group of people that have actually, they're in remission.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Feedback on Alex's Features,Users provide feedback on potential features of Alex that could enhance their experience with clinical trials.,,"[""Feedback on Alex's Features""]","[{""text"": ""[{\""text\"": \""If Alex does get to an appointment in an advanced way, that would be wonderful.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Feedback on Avatar Selection,Users want the ability to provide feedback on avatar choices to improve user experience.,,"[""Feedback on Avatar Selection""]","[{""text"": ""[{\""text\"": \""Can we see the first one that was being generated while we were waiting?\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Feedback on Content,Users want to provide feedback on the content to improve future iterations.,,"[""Feedback on Content""]","[{""text"": ""[{\""text\"": \""The last tab was a waste of my time.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Feedback on Digital Tools,Participants provide feedback on digital tools designed to facilitate understanding of clinical research.,,"[""Feedback on Digital Tools""]","[{""text"": ""[{\""text\"": \""It\\u2019s confusing? I don't know what the tiles are for.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Feedback on Educational Resources,The participant is willing to provide feedback on educational resources related to clinical trials.,,"[""Feedback on Educational Resources""]","[{""text"": ""[{\""text\"": \""I think that the direction you guys are taking with this video and training is very proper.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
Feedback on Presentation,"Participants provide feedback on the presentation style and content of clinical trial information, seeking improvements.",,"[""Feedback on Presentation""]","[{""text"": ""[{\""text\"": \""My initial reaction was, 'Boring.' The layout is terrible.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Feedback on Resources,The goal of providing constructive feedback on health resources to improve their effectiveness.,,"[""Feedback on Resources""]","[{""text"": ""[{\""text\"": \""I think it was very well thought, very well thought out.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""10_R24FG_HM_Individual_GNV_initial_codes.csv""}]",10_R24FG_HM_Individual_GNV_initial_codes.csv
Feedback on Virtual Human,The user provides feedback on the virtual human's presentation and effectiveness.,,"[""Feedback on Virtual Human""]","[{""text"": ""[{\""text\"": \""He was very well-manicured and like an actor.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv""}]",8_R24FG_HF_Individual_GNV_initial_codes.csv
Feedback on Virtual Human Interaction,The user provides feedback on the effectiveness of virtual human interactions in conveying information.,,"[""Feedback on Virtual Human Interaction""]","[{""text"": ""[{\""text\"": \""I thought, yes. The virtual human was able to convey that well.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""15_R24FG_WF_Individual_GNV_initial_codes.csv""}]",15_R24FG_WF_Individual_GNV_initial_codes.csv
Financial Considerations,The participant is concerned about the financial implications of participating in clinical trials.,,"[""Financial Considerations""]","[{""text"": ""[{\""text\"": \""The trial was asking me to change my medication. However, financially, they were not supporting the change.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
Find Research Studies,Users aim to locate relevant research studies based on their health conditions and interests through a user-friendly interface.,,"[""Find Research Studies""]","[{""text"": ""[{\""text\"": \""You just follow the, how many you input is, heart disease or lung disease or and I will take you to the different studies available.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Font Size Adjustment,"Users want the ability to adjust font sizes for better readability, especially for those with visual impairments.",,"[""Font Size Adjustment""]","[{""text"": ""[{\""text\"": \""I sometimes have issues with it, you know, the size of the font.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Frustration with Finding Trials,"The user feels frustrated by the difficulty in locating clinical trials, highlighting a gap in available resources.",,"[""Frustration with Finding Trials""]","[{""text"": ""[{\""text\"": \""I spent some time, hours and hours, looking for trials. And they were hard to find.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
General Interest in Health Resources,"The user shows a general interest in health-related resources, indicating a proactive approach to managing their health.",,"[""General Interest in Health Resources""]","[{""text"": ""[{\""text\"": \""It sounds like it could be useful.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Group Dynamics,Participants value the benefits of group discussions in understanding research studies.,,"[""Group Dynamics""]","[{""text"": ""[{\""text\"": \""I think the group is good because you can feed off other people's questions and their knowledge.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Health Condition Filtering,Users desire the ability to filter research studies based on specific health conditions.,,"[""Health Condition Filtering""]","[{""text"": ""[{\""text\"": \""If I wanted something just on my disease in my thumb, I want to have a field, filter that I can put in there.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Health Education Resources,Users seek educational resources that inform them about health options and clinical trials.,,"[""Health Education Resources""]","[{""text"": ""[{\""text\"": \""This is something that they will be helpful even for right now you're on the medication.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Health Improvement Motivation,The participant is motivated to join trials that could potentially improve their health.,,"[""Health Improvement Motivation""]","[{""text"": ""[{\""text\"": \""First and foremost, something that could help me with my health.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
Health Prioritization in Trials,Users emphasize the importance of prioritizing personal health and addressing health concerns in clinical trials.,"These codes were merged because both highlight the significance of personal health considerations in clinical trial participation, reflecting users' concerns about their well-being and family health history.","[""Prioritize Personal Health"", ""Personal Health Concerns""]","[{""text"": ""[{\""text\"": \""I think it\\u2019s important to know that it is always your choice to participate in a research study.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}, {\""text\"": \""I have a history of Alzheimer's in my family... I was very concerned about how I and my siblings would function.\"", \""source\"": \""10_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv""}]","3_R24FG_CF_Group_Villages_initial_codes.csv, 10_R24FG_HM_Individual_GNV_initial_codes.csv"
Health Problem Resolution,The participant values clinical trials for their potential to resolve health issues and improve personal health.,,"[""Health Problem Resolution""]","[{""text"": ""[{\""text\"": \""I think it'd be a positive feeling to find out what's, you know, if you have something wrong.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]",16_R24FG_WF_Individual_GNV_initial_codes.csv
Immediate Test Results,Users appreciate timely access to test results to alleviate anxiety while waiting for doctor appointments.,,"[""Immediate Test Results""]","[{""text"": ""[{\""text\"": \""I like that if I have a blood test... I can look at and see what the result is.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Importance of Cultural Representation,Users want to see representatives who reflect their cultural background to foster connection and trust.,,"[""Importance of Cultural Representation""]","[{""text"": ""[{\""text\"": \""I want to hear because it\\u2019s not, this is just someone who is getting paid to.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Importance of Sensitivity in Health Communication,Users emphasize the need for sensitivity when conveying health-related information.,,"[""Importance of Sensitivity in Health Communication""]","[{""text"": ""[{\""text\"": \""They need to be very careful how they, you know, they talk to Hispanic, especially.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]",6_R24FG_HF_Group_Mayo_initial_codes.csv
Improve User Experience,Users want a more engaging and interactive experience when learning about clinical trials.,,"[""Improve User Experience""]","[{""text"": ""[{\""text\"": \""I\\u2019d like to know what the rest have to say.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Improve Visual Design,Users suggest enhancing the visual appeal of the application to make it more engaging and easier to navigate.,,"[""Improve Visual Design""]","[{""text"": ""[{\""text\"": \""It was like bare text, or just white, like a white background and bare text.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Improved Avatar Presentation,"Users prefer avatars that show more than just the face, enhancing the overall presentation.",,"[""Improved Avatar Presentation""]","[{""text"": ""[{\""text\"": \""Show more of the person's, at least, upper body instead of just the face, so it looks more-\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Improving Medical Practices,Participants seek to understand how clinical studies can lead to improvements in diagnosing and treating illnesses.,,"[""Improving Medical Practices""]","[{""text"": ""[{\""text\"": \""The medical industry is always looking for ways to improve, you know, diagnosing certain illnesses.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Information Resource Recommendation,Users feel comfortable recommending informational resources like Alex to others for understanding clinical trials.,,"[""Information Resource Recommendation""]","[{""text"": ""[{\""text\"": \""I'd be very comfortable letting them know that there's something out there that can help them.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Information Sharing Capability,Users want the ability to easily share relevant research study information with others.,,"[""Information Sharing Capability""]","[{""text"": ""[{\""text\"": \""Once you filter it down have the ability to share.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Informed Decision Making,The goal of making informed health decisions based on comprehensive medical information.,,"[""Informed Decision Making""]","[{""text"": ""[{\""text\"": \""If anything can be a red flag, it will certainly come to the forefront.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Integrated Health Records,Users desire a unified health record system that consolidates information from multiple providers.,,"[""Integrated Health Records""]","[{""text"": ""[{\""text\"": \""I have to rely on the fact that he may or may not forward that information to my primary.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Integration of Resources,The participant supports the integration of clinical trial information within their health management system.,,"[""Integration of Resources""]","[{""text"": ""[{\""text\"": \""If you can interact with the [university name] health system, that would be great.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
Integration of Technology in Healthcare,The user supports the integration of technology in healthcare to improve patient experiences.,,"[""Integration of Technology in Healthcare""]","[{""text"": ""[{\""text\"": \""I would love to see that. That's awesome.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Integration with Health Systems,The user seeks integration of clinical trial information with existing health management systems.,,"[""Integration with Health Systems""]","[{""text"": ""[{\""text\"": \""If you put it onto [patient portal name], that would be extremely useful.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv""}]",8_R24FG_HF_Individual_GNV_initial_codes.csv
Interactive Question Reference Guide,Users prefer an interactive guide that allows them to select questions to discuss with their healthcare providers.,,"[""Interactive Question Reference Guide""]","[{""text"": ""[{\""text\"": \""Questions Reference Guide, and then you have 'printable,' so then it\\u2019s not interactive.\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
Interest in AI Integration,"Users are curious about how AI can enhance their healthcare experience, particularly in providing personalized recommendations.",,"[""Interest in AI Integration""]","[{""text"": ""[{\""text\"": \""So, it would have to know our personal records to be able to tell us that?\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Interest in Clinical Trials,Participants express a willingness to explore and engage in clinical trials as potential treatment options.,"These codes were merged due to their overlapping themes of interest and willingness to participate in clinical trials, highlighting a common perspective among participants.","[""Interest in Clinical Trials"", ""Interest in Clinical Trials"", ""Interest in Clinical Trials""]","[{""text"": ""[{\""text\"": \""It would be good, yeah, if I do be eligible to do that.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}, {\""text\"": \""I thought it would be interesting. I had no reason to not do it.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv""}, {""text"": ""[{\""text\"": \""I wish that there had been something like that a year or so ago that would actually find all these clinical trials in one place.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}, {""text"": ""[{\""text\"": \""I'd be very positively oriented toward it.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]","5_R24FG_HM_Group_GNV_initial_codes.csv, 4_R24FG_CF_Group_Villages_initial_codes.csv, 5_R24FG_HM_Group_GNV_initial_codes.csv, 15_R24FG_WF_Individual_GNV_initial_codes.csv"
Interest in Collaborative Research,Participants recognize the collaborative nature of clinical trials and the potential benefits for future generations.,,"[""Interest in Collaborative Research""]","[{""text"": ""[{\""text\"": \""It's a collaborative effort nationwide.\"", \""source\"": \""1_R24FG_BF_Group_UF_initial_codes.csv\""}]"", ""source"": ""1_R24FG_BF_Group_UF_initial_codes.csv""}]",1_R24FG_BF_Group_UF_initial_codes.csv
Interest in Comprehensive Resources,"The user values having a centralized resource for clinical trials, indicating a need for comprehensive information.",,"[""Interest in Comprehensive Resources""]","[{""text"": ""[{\""text\"": \""I think there are a lot of people that are... in a quandary about what treatment to do.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Interest in Educational Resources,The participant appreciates educational resources that provide information about clinical trials.,,"[""Interest in Educational Resources""]","[{""text"": ""[{\""text\"": \""It was informative and tells you, you know, what, why they do the research.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv""}]",16_R24FG_WF_Individual_GNV_initial_codes.csv
Interest in Local Studies,The user is particularly interested in studies that are local and accessible to them.,,"[""Interest in Local Studies""]","[{""text"": ""[{\""text\"": \""If you can participate in, say a study locally, or do you have to go somewhere else to do that.\"", \""source\"": \""15_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""15_R24FG_WF_Individual_GNV_initial_codes.csv""}]",15_R24FG_WF_Individual_GNV_initial_codes.csv
Interest in Personalization,"The goal is to have personalized interactions, including the appearance of virtual health resources.",,"[""Interest in Personalization""]","[{""text"": ""[{\""text\"": \""I thought I was going to choose one... someone that looked more like me.\"", \""source\"": \""2_R24FG_BF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""2_R24FG_BF_Individual_GNV_initial_codes.csv""}]",2_R24FG_BF_Individual_GNV_initial_codes.csv
Interest in Preventative Research,The user expresses a desire to learn about studies focused on cancer prevention.,,"[""Interest in Preventative Research""]","[{""text"": ""[{\""text\"": \""I\\u2019d like to know more about studies that prevent cancer.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Interest in Research Outcomes,Participants are interested in the outcomes of research studies and how they impact future treatments.,,"[""Interest in Research Outcomes""]","[{""text"": ""[{\""text\"": \""For me, it had to deal with if this particular medicine can help future cancer patients.\"", \""source\"": \""4_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""4_R24FG_CF_Group_Villages_initial_codes.csv""}]",4_R24FG_CF_Group_Villages_initial_codes.csv
Interest in Research Registries,Participants express interest in joining research registries for potential health benefits and access to studies.,"These codes were merged due to their overlapping themes of participant interest in research registries for health-related benefits, emphasizing both personal and communal motivations.","[""Interest in Research Registry"", ""Interest in Research Registries"", ""Interest in Research Registries""]","[{""text"": ""[{\""text\"": \""I would do it if I thought it could help somebody else.\"", \""source\"": \""16_R24FG_WF_Individual_GNV_initial_codes.csv\""}, {\""text\"": \""I just say yes because I have the opportunity to say no, or yes, I\\u2019m not obligated.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""I will really consider doing it. I never have been asked, but if I do I will really consider it.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv""}, {""text"": ""[{\""text\"": \""I think I have, maybe for a specific, so I know, I have a friend who is a retired black firefighter.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""6_R24FG_HF_Group_Mayo_initial_codes.csv""}]","6_R24FG_HF_Group_Mayo_initial_codes.csv, 16_R24FG_WF_Individual_GNV_initial_codes.csv, 7_R24FG_HF_Group_GNV_initial_codes.csv, 13_R24FG_HM_Group_FIU_initial_codes.csv"
Language Options,Users express the need for multilingual support to accommodate non-English speakers and enhance inclusivity.,,"[""Language Options""]","[{""text"": ""[{\""text\"": \""To add a translator to non-English speaker so maybe you can have a different option for language.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Learning About Genetics,The goal of understanding genetic factors that influence personal health and preferences.,,"[""Learning About Genetics""]","[{""text"": ""[{\""text\"": \""They went off on this whole tangent about tastebuds.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Location-Based Filtering,Users want to filter research studies based on their geographical location.,,"[""Location-Based Filtering""]","[{""text"": ""[{\""text\"": \""Where it is, location, how far you\\u2019d be willing to travel.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Long-Term Commitment,The understanding that participation in clinical trials may require a long-term commitment.,,"[""Long-Term Commitment""]","[{""text"": ""[{\""text\"": \""We have studies going on here where I work that go into ten, fifteen years.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""11_R24FG_HM_Individual_GNV_initial_codes.csv""}]",11_R24FG_HM_Individual_GNV_initial_codes.csv
Manage Health Information Online,"Users aim to efficiently manage their personal health information online, including appointments and test results.",,"[""Manage Health Information Online""]","[{""text"": ""[{\""text\"": \""I feel comfortable doing that. It\\u2019s really easy.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Mental Health Support,The recognition that clinical trials can provide mental health benefits alongside physical health improvements.,,"[""Mental Health Support""]","[{""text"": ""[{\""text\"": \""They can help people not only physically, but mentally as well.\"", \""source\"": \""11_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""11_R24FG_HM_Individual_GNV_initial_codes.csv""}]",11_R24FG_HM_Individual_GNV_initial_codes.csv
Mobile App Preference,Users prefer accessing the application via a mobile app for convenience and ease of use.,,"[""Mobile App Preference""]","[{""text"": ""[{\""text\"": \""Yeah, I think an app on the phone would be great.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv""}]",13_R24FG_HM_Group_FIU_initial_codes.csv
Monitoring During Trials,The participant wants assurance that their health will be closely monitored during a trial.,,"[""Monitoring During Trials""]","[{""text"": ""[{\""text\"": \""What I found really missing there is to add a comment that you will be monitored.\"", \""source\"": \""12_R24FG_HM_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""12_R24FG_HM_Individual_GNV_initial_codes.csv""}]",12_R24FG_HM_Individual_GNV_initial_codes.csv
Motivation for Participation,Participants are driven by personal or family health concerns to engage in research and are willing to participate if eligible.,These codes were merged because both highlight the influence of personal and familial health issues on an individual's willingness to participate in research.,"[""Personal Motivation"", ""Willingness to Participate""]","[{""text"": ""[{\""text\"": \""If there was something that was affecting a member of my family or myself personally, then I would be more inclined to participate.\"", \""source\"": \""13_R24FG_HM_Group_FIU_initial_codes.csv\""}, {\""text\"": \""Oh, I would definitely say yes.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv""}]","13_R24FG_HM_Group_FIU_initial_codes.csv, 9_R24FG_WF_Individual_GNV_initial_codes.csv"
